[2026-05-20T09:14:06.351049+00:00] detect_docx_toc TOC Structured Document Tag (SDT) detected.
[2026-05-20T09:14:06.360301+00:00] PipelineOrchestrator TOC DETECTED = True
[2026-05-20T09:14:06.363565+00:00] PipelineOrchestrator Starting conversion pipeline for 'Printer_Setup_UserGuide.docx'.
[2026-05-20T09:14:06.363697+00:00] DocxToHtmlProcessor Converting 'Printer_Setup_UserGuide.docx' from DOCX to HTML.
[2026-05-20T09:14:06.366938+00:00] DocxToHtmlProcessor Opening DOCX archive: 'Printer_Setup_UserGuide.docx'.
[2026-05-20T09:14:06.368334+00:00] DocxToHtmlProcessor Reading relationships.
[2026-05-20T09:14:06.368455+00:00] DocxToHtmlProcessor Parsing relationships from 'word/_rels/document.xml.rels'.
[2026-05-20T09:14:06.369477+00:00] DocxToHtmlProcessor Extracted 246 relationship(s).
[2026-05-20T09:14:06.390509+00:00] DocxToHtmlProcessor Media copied: 'image141.png'.
[2026-05-20T09:14:06.390651+00:00] DocxToHtmlProcessor Media copied: 'image155.png'.
[2026-05-20T09:14:06.390849+00:00] DocxToHtmlProcessor Media copied: 'image160.png'.
[2026-05-20T09:14:06.390997+00:00] DocxToHtmlProcessor Media copied: 'image176.png'.
[2026-05-20T09:14:06.391138+00:00] DocxToHtmlProcessor Media copied: 'image2.png'.
[2026-05-20T09:14:06.391274+00:00] DocxToHtmlProcessor Media copied: 'image171.png'.
[2026-05-20T09:14:06.391492+00:00] DocxToHtmlProcessor Media copied: 'image201.png'.
[2026-05-20T09:14:06.391640+00:00] DocxToHtmlProcessor Media copied: 'image206.png'.
[2026-05-20T09:14:06.391803+00:00] DocxToHtmlProcessor Media copied: 'image227.png'.
[2026-05-20T09:14:06.391943+00:00] DocxToHtmlProcessor Media copied: 'image19.png'.
[2026-05-20T09:14:06.392085+00:00] DocxToHtmlProcessor Media copied: 'image222.png'.
[2026-05-20T09:14:06.392228+00:00] DocxToHtmlProcessor Media copied: 'image40.png'.
[2026-05-20T09:14:06.392364+00:00] DocxToHtmlProcessor Media copied: 'image61.png'.
[2026-05-20T09:14:06.392502+00:00] DocxToHtmlProcessor Media copied: 'image82.png'.
[2026-05-20T09:14:06.392638+00:00] DocxToHtmlProcessor Media copied: 'image105.png'.
[2026-05-20T09:14:06.392796+00:00] DocxToHtmlProcessor Media copied: 'image126.png'.
[2026-05-20T09:14:06.392938+00:00] DocxToHtmlProcessor Media copied: 'image147.png'.
[2026-05-20T09:14:06.393088+00:00] DocxToHtmlProcessor Media copied: 'image166.png'.
[2026-05-20T09:14:06.393282+00:00] DocxToHtmlProcessor Media copied: 'image187.jpeg'.
[2026-05-20T09:14:06.393591+00:00] DocxToHtmlProcessor Media copied: 'image191.png'.
[2026-05-20T09:14:06.393812+00:00] DocxToHtmlProcessor Media copied: 'image9.png'.
[2026-05-20T09:14:06.394016+00:00] DocxToHtmlProcessor Media copied: 'image212.jpeg'.
[2026-05-20T09:14:06.394168+00:00] DocxToHtmlProcessor Media copied: 'image233.png'.
[2026-05-20T09:14:06.394310+00:00] DocxToHtmlProcessor Media copied: 'image30.png'.
[2026-05-20T09:14:06.394468+00:00] DocxToHtmlProcessor Media copied: 'image51.jpeg'.
[2026-05-20T09:14:06.394610+00:00] DocxToHtmlProcessor Media copied: 'image72.png'.
[2026-05-20T09:14:06.394858+00:00] DocxToHtmlProcessor Media copied: 'image95.png'.
[2026-05-20T09:14:06.395038+00:00] DocxToHtmlProcessor Media copied: 'image116.png'.
[2026-05-20T09:14:06.395185+00:00] DocxToHtmlProcessor Media copied: 'image137.png'.
[2026-05-20T09:14:06.395324+00:00] DocxToHtmlProcessor Media copied: 'image83.png'.
[2026-05-20T09:14:06.395466+00:00] DocxToHtmlProcessor Media copied: 'image156.png'.
[2026-05-20T09:14:06.395638+00:00] DocxToHtmlProcessor Media copied: 'image177.png'.
[2026-05-20T09:14:06.395833+00:00] DocxToHtmlProcessor Media copied: 'image202.png'.
[2026-05-20T09:14:06.396039+00:00] DocxToHtmlProcessor Media copied: 'image223.png'.
[2026-05-20T09:14:06.396187+00:00] DocxToHtmlProcessor Media copied: 'image20.png'.
[2026-05-20T09:14:06.396328+00:00] DocxToHtmlProcessor Media copied: 'image41.png'.
[2026-05-20T09:14:06.396467+00:00] DocxToHtmlProcessor Media copied: 'image62.png'.
[2026-05-20T09:14:06.396612+00:00] DocxToHtmlProcessor Media copied: 'image106.png'.
[2026-05-20T09:14:06.396770+00:00] DocxToHtmlProcessor Media copied: 'image127.png'.
[2026-05-20T09:14:06.396917+00:00] DocxToHtmlProcessor Media copied: 'image73.png'.
[2026-05-20T09:14:06.397060+00:00] DocxToHtmlProcessor Media copied: 'image148.png'.
[2026-05-20T09:14:06.397200+00:00] DocxToHtmlProcessor Media copied: 'image167.png'.
[2026-05-20T09:14:06.397339+00:00] DocxToHtmlProcessor Media copied: 'image188.png'.
[2026-05-20T09:14:06.397628+00:00] DocxToHtmlProcessor Media copied: 'image192.png'.
[2026-05-20T09:14:06.397892+00:00] DocxToHtmlProcessor Media copied: 'image213.jpeg'.
[2026-05-20T09:14:06.398057+00:00] DocxToHtmlProcessor Media copied: 'image234.png'.
[2026-05-20T09:14:06.398201+00:00] DocxToHtmlProcessor Media copied: 'image10.png'.
[2026-05-20T09:14:06.398341+00:00] DocxToHtmlProcessor Media copied: 'image31.png'.
[2026-05-20T09:14:06.398488+00:00] DocxToHtmlProcessor Media copied: 'image52.png'.
[2026-05-20T09:14:06.398638+00:00] DocxToHtmlProcessor Media copied: 'image96.png'.
[2026-05-20T09:14:06.398826+00:00] DocxToHtmlProcessor Media copied: 'image117.png'.
[2026-05-20T09:14:06.398972+00:00] DocxToHtmlProcessor Media copied: 'image63.png'.
[2026-05-20T09:14:06.399114+00:00] DocxToHtmlProcessor Media copied: 'image84.png'.
[2026-05-20T09:14:06.399260+00:00] DocxToHtmlProcessor Media copied: 'image138.png'.
[2026-05-20T09:14:06.399615+00:00] DocxToHtmlProcessor Media copied: 'image157.png'.
[2026-05-20T09:14:06.399799+00:00] DocxToHtmlProcessor Media copied: 'image178.png'.
[2026-05-20T09:14:06.400041+00:00] DocxToHtmlProcessor Media copied: 'image203.png'.
[2026-05-20T09:14:06.400196+00:00] DocxToHtmlProcessor Media copied: 'image224.png'.
[2026-05-20T09:14:06.400339+00:00] DocxToHtmlProcessor Media copied: 'image21.png'.
[2026-05-20T09:14:06.400479+00:00] DocxToHtmlProcessor Media copied: 'image42.png'.
[2026-05-20T09:14:06.400622+00:00] DocxToHtmlProcessor Media copied: 'image107.png'.
[2026-05-20T09:14:06.400809+00:00] DocxToHtmlProcessor Media copied: 'image53.png'.
[2026-05-20T09:14:06.400962+00:00] DocxToHtmlProcessor Media copied: 'image74.png'.
[2026-05-20T09:14:06.401112+00:00] DocxToHtmlProcessor Media copied: 'image128.png'.
[2026-05-20T09:14:06.401284+00:00] DocxToHtmlProcessor Media copied: 'image149.jpeg'.
[2026-05-20T09:14:06.401440+00:00] DocxToHtmlProcessor Media copied: 'image168.png'.
[2026-05-20T09:14:06.401589+00:00] DocxToHtmlProcessor Media copied: 'image189.jpeg'.
[2026-05-20T09:14:06.401974+00:00] DocxToHtmlProcessor Media copied: 'image193.png'.
[2026-05-20T09:14:06.402167+00:00] DocxToHtmlProcessor Media copied: 'image214.png'.
[2026-05-20T09:14:06.402323+00:00] DocxToHtmlProcessor Media copied: 'image235.png'.
[2026-05-20T09:14:06.402473+00:00] DocxToHtmlProcessor Media copied: 'image11.png'.
[2026-05-20T09:14:06.402614+00:00] DocxToHtmlProcessor Media copied: 'image32.png'.
[2026-05-20T09:14:06.402799+00:00] DocxToHtmlProcessor Media copied: 'image43.png'.
[2026-05-20T09:14:06.402951+00:00] DocxToHtmlProcessor Media copied: 'image97.png'.
[2026-05-20T09:14:06.403097+00:00] DocxToHtmlProcessor Media copied: 'image118.png'.
[2026-05-20T09:14:06.403240+00:00] DocxToHtmlProcessor Media copied: 'image139.png'.
[2026-05-20T09:14:06.403484+00:00] DocxToHtmlProcessor Media copied: 'image158.png'.
[2026-05-20T09:14:06.403639+00:00] DocxToHtmlProcessor Media copied: 'image179.png'.
[2026-05-20T09:14:06.403803+00:00] DocxToHtmlProcessor Media copied: 'image64.png'.
[2026-05-20T09:14:06.403950+00:00] DocxToHtmlProcessor Media copied: 'image85.png'.
[2026-05-20T09:14:06.404097+00:00] DocxToHtmlProcessor Media copied: 'image204.png'.
[2026-05-20T09:14:06.404250+00:00] DocxToHtmlProcessor Media copied: 'image225.png'.
[2026-05-20T09:14:06.404394+00:00] DocxToHtmlProcessor Media copied: 'image22.png'.
[2026-05-20T09:14:06.404600+00:00] DocxToHtmlProcessor Media copied: 'image33.png'.
[2026-05-20T09:14:06.404764+00:00] DocxToHtmlProcessor Media copied: 'image108.png'.
[2026-05-20T09:14:06.404914+00:00] DocxToHtmlProcessor Media copied: 'image129.png'.
[2026-05-20T09:14:06.405127+00:00] DocxToHtmlProcessor Media copied: 'image150.jpeg'.
[2026-05-20T09:14:06.405278+00:00] DocxToHtmlProcessor Media copied: 'image169.png'.
[2026-05-20T09:14:06.405416+00:00] DocxToHtmlProcessor Media copied: 'image54.png'.
[2026-05-20T09:14:06.405556+00:00] DocxToHtmlProcessor Media copied: 'image75.png'.
[2026-05-20T09:14:06.405750+00:00] DocxToHtmlProcessor Media copied: 'image190.jpeg'.
[2026-05-20T09:14:06.406118+00:00] DocxToHtmlProcessor Media copied: 'image194.png'.
[2026-05-20T09:14:06.406283+00:00] DocxToHtmlProcessor Media copied: 'image12.png'.
[2026-05-20T09:14:06.406484+00:00] DocxToHtmlProcessor Media copied: 'image215.png'.
[2026-05-20T09:14:06.406643+00:00] DocxToHtmlProcessor Media copied: 'image23.png'.
[2026-05-20T09:14:06.406831+00:00] DocxToHtmlProcessor Media copied: 'image98.png'.
[2026-05-20T09:14:06.406977+00:00] DocxToHtmlProcessor Media copied: 'image119.png'.
[2026-05-20T09:14:06.407124+00:00] DocxToHtmlProcessor Media copied: 'image140.png'.
[2026-05-20T09:14:06.407292+00:00] DocxToHtmlProcessor Media copied: 'image159.png'.
[2026-05-20T09:14:06.407433+00:00] DocxToHtmlProcessor Media copied: 'image44.png'.
[2026-05-20T09:14:06.407572+00:00] DocxToHtmlProcessor Media copied: 'image65.png'.
[2026-05-20T09:14:06.407725+00:00] DocxToHtmlProcessor Media copied: 'image86.png'.
[2026-05-20T09:14:06.407882+00:00] DocxToHtmlProcessor Media copied: 'image180.png'.
[2026-05-20T09:14:06.408026+00:00] DocxToHtmlProcessor Media copied: 'image205.png'.
[2026-05-20T09:14:06.408169+00:00] DocxToHtmlProcessor Media copied: 'image226.png'.
[2026-05-20T09:14:06.408308+00:00] DocxToHtmlProcessor Media copied: 'image109.png'.
[2026-05-20T09:14:06.408447+00:00] DocxToHtmlProcessor Media copied: 'image130.png'.
[2026-05-20T09:14:06.408633+00:00] DocxToHtmlProcessor Media copied: 'image151.jpeg'.
[2026-05-20T09:14:06.408797+00:00] DocxToHtmlProcessor Media copied: 'image13.png'.
[2026-05-20T09:14:06.408940+00:00] DocxToHtmlProcessor Media copied: 'image34.png'.
[2026-05-20T09:14:06.409079+00:00] DocxToHtmlProcessor Media copied: 'image55.png'.
[2026-05-20T09:14:06.409219+00:00] DocxToHtmlProcessor Media copied: 'image76.png'.
[2026-05-20T09:14:06.409360+00:00] DocxToHtmlProcessor Media copied: 'image170.png'.
[2026-05-20T09:14:06.409507+00:00] DocxToHtmlProcessor Media copied: 'image181.png'.
[2026-05-20T09:14:06.409888+00:00] DocxToHtmlProcessor Media copied: 'image195.png'.
[2026-05-20T09:14:06.410083+00:00] DocxToHtmlProcessor Media copied: 'image216.png'.
[2026-05-20T09:14:06.410240+00:00] DocxToHtmlProcessor Media copied: 'image99.png'.
[2026-05-20T09:14:06.410500+00:00] DocxToHtmlProcessor Media copied: 'image120.png'.
[2026-05-20T09:14:06.410538+00:00] DocxToHtmlProcessor Media copy complete -- 235 file(s) exported.
[2026-05-20T09:14:06.410574+00:00] DocxToHtmlProcessor Reading list numbering definitions.
[2026-05-20T09:14:06.410617+00:00] DocxToHtmlProcessor Parsing 'word/numbering.xml' for list type map.
[2026-05-20T09:14:06.417741+00:00] DocxToHtmlProcessor Numbering map built with 36 numId(s).
[2026-05-20T09:14:06.418602+00:00] DocxToHtmlProcessor Reading 'word/document.xml'.
[2026-05-20T09:14:06.437880+00:00] DocxToHtmlProcessor Parsing 'word/document.xml' XML structure.
[2026-05-20T09:14:06.631378+00:00] DocxToHtmlProcessor Processing document body paragraphs for 'Printer_Setup_UserGuide.docx'.
[2026-05-20T09:14:06.756342+00:00] DocxToHtmlProcessor Document body processed — 438 HTML block(s) generated for 'Printer_Setup_UserGuide.docx'.
[2026-05-20T09:14:06.766293+00:00] DocxToHtmlProcessor DOCX to HTML conversion complete.
[2026-05-20T09:14:06.769877+00:00] HtmlToDitaNormalizer Normalizing generated HTML for DITA conversion.
[2026-05-20T09:14:06.772596+00:00] helper_port.py class is running.
[2026-05-20T09:14:07.021348+00:00] HtmlToDitaNormalizer HTML normalization complete.
[2026-05-20T09:14:07.092347+00:00] TopicSplitter Splitting HTML content into topics.
[2026-05-20T09:14:07.175666+00:00] TopicSplitter Found 63 topics.
[2026-05-20T09:14:07.178395+00:00] TopicWriter Writing topics to .dita files.
[2026-05-20T09:14:07.181247+00:00] TopicWriter Starting to write 63 topics to '/app/output/e4d48806-8a5c-42e3-a626-75c715d55f5f'.
[2026-05-20T09:14:07.181464+00:00] TopicWriter Building topic tree hierarchy.
[2026-05-20T09:14:07.181523+00:00] TopicWriter Building topic tree from 63 flat topic(s).
[2026-05-20T09:14:07.181634+00:00] TopicWriter Topic tree built — 7 root node(s).
[2026-05-20T09:14:07.181855+00:00] TopicWriter Assigning output paths to all topics.
[2026-05-20T09:14:07.181939+00:00] TopicWriter Assigning output paths for 7 node(s) under '/app/output/e4d48806-8a5c-42e3-a626-75c715d55f5f'.
[2026-05-20T09:14:07.182151+00:00] TopicWriter Assigning output paths for 2 node(s) under '/app/output/e4d48806-8a5c-42e3-a626-75c715d55f5f'.
[2026-05-20T09:14:07.182210+00:00] TopicWriter Assigning output paths for 7 node(s) under '/app/output/e4d48806-8a5c-42e3-a626-75c715d55f5f'.
[2026-05-20T09:14:07.182255+00:00] TopicWriter Assigned path for topic 'Product Parts - Front': '/app/output/e4d48806-8a5c-42e3-a626-75c715d55f5f/product_basics/product_parts_front.dita'.
[2026-05-20T09:14:07.182296+00:00] TopicWriter Assigned path for topic 'Product Parts - Inside': '/app/output/e4d48806-8a5c-42e3-a626-75c715d55f5f/product_basics/product_parts_inside.dita'.
[2026-05-20T09:14:07.182335+00:00] TopicWriter Assigned path for topic 'Product Parts - Back': '/app/output/e4d48806-8a5c-42e3-a626-75c715d55f5f/product_basics/product_parts_back.dita'.
[2026-05-20T09:14:07.182375+00:00] TopicWriter Assigning output paths for 2 node(s) under '/app/output/e4d48806-8a5c-42e3-a626-75c715d55f5f'.
[2026-05-20T09:14:07.182420+00:00] TopicWriter Assigned path for topic 'The LCD Screen': '/app/output/e4d48806-8a5c-42e3-a626-75c715d55f5f/product_basics/the_lcd_screen.dita'.
[2026-05-20T09:14:07.182460+00:00] TopicWriter Assigned path for topic 'Status Icon Information': '/app/output/e4d48806-8a5c-42e3-a626-75c715d55f5f/product_basics/status_icon_information.dita'.
[2026-05-20T09:14:07.182487+00:00] TopicWriter Path assignment complete for 2 node(s).
[2026-05-20T09:14:07.182515+00:00] TopicWriter Assigned path for topic 'Using the Control Panel': '/app/output/e4d48806-8a5c-42e3-a626-75c715d55f5f/product_basics/using_the_control_panel.dita'.
